"LSOA11CD","imdscore","imdrank"
"E01023976",37.013,5440
"E01024019",44.458,3315
"E01024020",44.572,3285
"E01032816",8.04,26686
"E01032823",21.771,12886
"E01024001",29.182,8620
"E01024006",5.916,29292
"E01024008",6.732,28315
"E01032815",33.642,6656
"E01032817",14.536,19097
"E01032818",9.286,25102
"E01032819",8.498,26110
"E01032824",13.948,19688
"E01024013",13.322,20346
"E01024014",18.369,15563
"E01024015",8.643,25919
"E01024034",14.117,19514
"E01023978",14.828,18813
"E01023979",14.279,19360
"E01024032",18.964,15082
"E01024036",15.021,18618
"E01024031",18.789,15238
"E01024038",14.716,18926
"E01024039",18.114,15785
"E01032813",7.987,26758
"E01032814",13.975,19657
"E01024009",13.3,20364
"E01024010",20.625,13742
"E01024011",8.758,25759
"E01024012",10.889,23133
"E01024024",9.508,24817
"E01024025",18.17,15735
"E01023997",22.406,12461
"E01023998",20.824,13606
"E01024026",10.725,23343
"E01024037",11.365,22565
"E01017648",3.761,31507
"E01017649",6.595,28487
"E01017650",4.83,30465
"E01032960",13.702,19933
"E01017644",5.712,29502
"E01017645",13.791,19839
"E01017646",13.388,20278
"E01017647",1.498,32764
"E01017671",10.102,24076
"E01017672",6.104,29063
"E01017695",8.775,25730
"E01017696",4.42,30861
"E01017693",7.2,27750
"E01017694",11.994,21806
"E01017713",11.469,22426
"E01017714",7.179,27770
"E01017717",14.765,18879
"E01017718",9.411,24942
"E01017735",9.265,25126
"E01017736",10.512,23601
"E01017737",3.376,31821
"E01017738",8.915,25558
"E01017669",10.252,23893
"E01017670",10.581,23513
"E01017715",10.972,23047
"E01017716",7.957,26796
"E01017641",7.18,27769
"E01017731",10.074,24125
"E01017732",3.563,31683
"E01017733",14.384,19252
"E01017734",7.847,26931
"E01017703",5.662,29572
"E01017704",7.696,27135
"E01017719",6.468,28632
"E01017720",10.137,24038
"E01032958",6.974,28006
"E01032959",14.603,19033
"E01017651",4.535,30763
"E01017652",12.707,21006
"E01017657",5.144,30151
"E01017658",7.879,26893
"E01017701",7.467,27415
"E01017702",8.033,26695
"E01017642",13.641,19996
"E01017643",11.516,22357
"E01017673",13.712,19921
"E01017674",15.381,18246
"E01017659",20.071,14197
"E01017660",7.779,27023
"E01017661",21.576,13017
"E01017664",3.964,31318
"E01017705",11.262,22691
"E01017706",19.448,14695
"E01017707",35.029,6134
"E01017708",24.501,11141
"E01017665",34.198,6453
"E01017666",26.783,9837
"E01017667",21.93,12791
"E01017668",11.373,22556
"E01017697",5.44,29822
"E01017698",15.217,18422
"E01017699",20.835,13592
"E01017700",2.058,32605
"E01017634",18.361,15569
"E01017662",23.625,11671
"E01017663",30.67,7918
"E01032955",15.336,18292
"E01032961",24.433,11180
"E01017653",9.951,24291
"E01017654",28.039,9146
"E01017655",7.872,26906
"E01032956",4.644,30649
"E01032957",5.712,29503
"E01032962",4.088,31199
"E01017635",6.066,29108
"E01017636",4.104,31174
"E01017637",6.153,29000
"E01017638",2.66,32318
"E01017639",1.414,32784
"E01017640",3.219,31935
"E01017709",34.306,6409
"E01017710",20.668,13719
"E01017711",30.845,7827
"E01017712",29.867,8304
"E01017687",19.885,14349
"E01017688",10.124,24050
"E01017689",4.485,30810
"E01017690",8.412,26219
"E01017691",3.823,31447
"E01017692",6.872,28142
"E01017721",11.627,22233
"E01017722",7.432,27449
"E01017723",27.183,9620
"E01017724",25.46,10603
"E01017627",10.521,23590
"E01017628",8.579,26012
"E01017629",4.44,30847
"E01017630",4.446,30843
"E01017631",3.755,31515
"E01017632",3.321,31859
"E01017675",2.685,32299
"E01017676",6.841,28178
"E01017677",1.368,32793
"E01017678",6.746,28306
"E01017679",9.467,24864
"E01017680",12.819,20886
"E01017681",6.831,28196
"E01017682",1.169,32819
"E01017683",9.754,24512
"E01017684",6.776,28270
"E01017726",8.76,25757
"E01017727",1.372,32792
"E01017728",4.942,30352
"E01017729",3.569,31681
"E01017730",12.125,21650
"E01029876",17.248,16534
"E01029898",13.115,20562
"E01029907",15.282,18351
"E01029881",15.709,17912
"E01029884",19.237,14839
"E01029885",11.528,22346
"E01029900",24.406,11198
"E01029901",12.073,21715
"E01029917",9.995,24236
"E01029892",23.224,11902
"E01029893",7.798,26992
"E01029894",4.663,30639
"E01029895",3.559,31690
"E01029896",11.124,22871
"E01029911",11.965,21841
"E01029877",14.861,18783
"E01029878",10.041,24161
"E01029879",14.198,19433
"E01029908",4.62,30681
"E01029909",9.978,24257
"E01029910",26.743,9861
"E01029880",17.095,16671
"E01029921",8.679,25870
"E01029922",26.649,9906
"E01029923",11.765,22070
"E01029912",33.021,6905
"E01029913",11.973,21835
"E01029914",32.085,7291
"E01029915",16.666,17054
"E01029916",33.596,6677
"E01029918",26.98,9723
"E01029919",15.154,18483
"E01029920",22.93,12091
"E01029886",35.429,5984
"E01029887",10.135,24040
"E01029888",27.273,9580
"E01029889",36.549,5589
"E01029890",9.521,24803
"E01029891",15.694,17930
"E01029875",12.848,20845
"E01029899",12.534,21171
"E01029902",14.285,19349
"E01029906",17.065,16702
"E01029870",11.835,21988
"E01029872",5.996,29191
"E01029882",7.817,26966
"E01029883",9.574,24739
"E01029903",3.244,31911
"E01029904",4.539,30759
"E01029905",7.985,26761
"E01029871",12.935,20744
"E01029873",13.815,19819
"E01029874",17.556,16276
"E01029897",8.315,26342
"E01000027",41.997,3924
"E01000028",43.13,3617
"E01000029",26.669,9890
"E01000030",41.284,4130
"E01000031",25.078,10820
"E01000032",30.366,8063
"E01000110",16.324,17370
"E01000111",31.044,7738
"E01000112",23.159,11942
"E01000113",26.638,9911
"E01000034",36.958,5459
"E01000037",20.079,14189
"E01000038",19.125,14938
"E01000039",23.48,11760
"E01000063",34.787,6231
"E01000100",34.948,6169
"E01000101",39.694,4595
"E01000109",28.517,8906
"E01000114",26.768,9844
"E01000033",41.387,4101
"E01000060",40.89,4259
"E01000061",56.571,1277
"E01000062",31.274,7633
"E01000064",35.233,6050
"E01000065",39.653,4604
"E01000078",37.03,5435
"E01000080",34.061,6505
"E01000081",31.742,7418
