"MSOA11CD","LSOA11CD"
"E02000131","E01000741"
"E02000131","E01000740"
"E02000131","E01000746"
"E02000132","E01000711"
"E02000132","E01000718"
"E02000132","E01000709"
"E02000132","E01000714"
"E02000132","E01000710"
"E02000133","E01000697"
"E02000133","E01000694"
"E02000133","E01000695"
"E02000133","E01000649"
"E02000133","E01000645"
"E02000133","E01000696"
"E02000134","E01000676"
"E02000134","E01000824"
"E02000134","E01000674"
"E02000134","E01000825"
"E02000134","E01000822"
"E02000134","E01000820"
"E02000134","E01000823"
"E02000135","E01000798"
"E02000135","E01000806"
"E02000135","E01000800"
"E02000135","E01000796"
"E02000135","E01000744"
"E02000135","E01000743"
"E02000136","E01000736"
"E02000136","E01000693"
"E02000136","E01000737"
"E02000136","E01000698"
"E02000137","E01000673"
"E02000137","E01000717"
"E02000137","E01000828"
"E02000137","E01000672"
"E02000137","E01000716"
"E02000138","E01000772"
"E02000138","E01000770"
"E02000138","E01000715"
"E02000138","E01000712"
"E02000138","E01000713"
"E02000139","E01000706"
"E02000139","E01000703"
"E02000139","E01000700"
"E02000139","E01000797"
"E02000139","E01000702"
"E02000140","E01000730"
"E02000140","E01000729"
"E02000140","E01000739"
"E02000140","E01000738"
"E02000140","E01000735"
"E02000141","E01000801"
"E02000141","E01000699"
"E02000141","E01000701"
"E02000141","E01000704"
"E02000141","E01000705"
"E02000142","E01000678"
"E02000142","E01000653"
"E02000142","E01000646"
"E02000142","E01000647"
"E02000142","E01000648"
"E02000144","E01000677"
"E02000144","E01000829"
"E02000144","E01000675"
"E02000144","E01000762"
"E02000144","E01000670"
"E02000145","E01000720"
"E02000145","E01000721"
"E02000145","E01000724"
"E02000145","E01000728"
"E02000145","E01000719"
"E02000146","E01000669"
"E02000146","E01000679"
"E02000146","E01000651"
"E02000146","E01000671"
"E02000146","E01000668"
"E02000147","E01000826"
"E02000147","E01000831"
"E02000147","E01000830"
"E02000147","E01000827"
"E02000147","E01000833"
"E02000148","E01000652"
"E02000148","E01000809"
"E02000148","E01000807"
"E02000148","E01000650"
"E02000149","E01000722"
"E02000149","E01000725"
"E02000149","E01000732"
"E02000149","E01000731"
"E02000149","E01000733"
"E02000150","E01000773"
"E02000150","E01000777"
"E02000150","E01000769"
"E02000150","E01000775"
"E02000150","E01000778"
"E02000151","E01000810"
"E02000151","E01000815"
"E02000151","E01000813"
"E02000151","E01000808"
"E02000151","E01000811"
"E02000152","E01000662"
